"","MODEL","SCENARIO","REGION","VARIABLE","UNIT","Year","value"
"1255554","NLU 1.0","R5B300LP","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,-44.567447
"1255569","NLU 1.0","R5B300LP","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1255594","NLU 1.0","R5B300LP","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-30.876957
"1255609","NLU 1.0","R5B300LP","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1257584","NLU 1.0","R5B400","ASIA","Emissions|CO2|Land Use","Mt CO2/yr",2000,-316.11862
"1257599","NLU 1.0","R5B400","ASIA","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1257784","NLU 1.0","R5B400","LAM","Emissions|CO2|Land Use","Mt CO2/yr",2000,-273.948788
"1257799","NLU 1.0","R5B400","LAM","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1257824","NLU 1.0","R5B400","MAF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-421.506713
"1257839","NLU 1.0","R5B400","MAF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1257864","NLU 1.0","R5B400","OECD90","Emissions|CO2|Land Use","Mt CO2/yr",2000,-44.567447
"1257879","NLU 1.0","R5B400","OECD90","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
"1257904","NLU 1.0","R5B400","REF","Emissions|CO2|Land Use","Mt CO2/yr",2000,-30.876957
"1257919","NLU 1.0","R5B400","REF","Primary Energy|Biomass|Energy Crops","EJ/yr",2000,0
